client_id,activity_date,total_orders,total_revenue,avg_order_value,return_rate,days_since_last_order,product_categories_used,device_type,has_app_installed,email_open_rate,discount_usage_pct,reviews_written,country,churned
E000019,2026-05-02,7,155.83,22.26,0.112,28.0,7,desktop,True,0.072,0.154,2,US,0
E000020,2026-05-13,6,309.13,51.52,0.174,17.0,3,desktop,True,0.796,0.362,2,US,1
E000021,2026-04-25,7,312.98,44.71,0.056,273.3728070875297,3,desktop,True,0.221,0.395,0,BR,1
E000022,2026-05-05,10,240.76,24.08,0.285,25.0,8,mobile,True,0.442,0.185,0,US,0
E000023,2026-05-07,7,236.82,33.83,0.092,23.0,3,tablet,False,0.472,0.503,1,US,0
E000024,2026-05-09,7,571.24,81.61,0.132,21.0,7,desktop,True,0.642,0.334,0,US,0
E000025,2026-05-11,7,414.66,59.24,0.228,19.0,4,desktop,False,,0.161,1,DE,0
E000026,2026-05-07,8,172.26,21.53,0.21,23.0,5,mobile,False,,0.282,0,FR,0
E000027,2026-05-06,9,253.9,28.21,0.157,24.0,5,mobile,True,0.713,0.219,1,FR,0
E000028,2026-04-30,3,149.58,49.86,0.134,30.0,5,mobile,False,0.567,0.05,1,DE,1
E000029,2026-05-13,5,51.61,10.32,0.031,17.0,1,mobile,True,0.658,0.06,1,Other,0
E000030,2026-05-07,3,84.52,28.17,0.075,23.0,2,desktop,True,0.448,0.086,2,UK,0
E000031,2026-05-06,10,580.02,58.0,,24.0,2,desktop,False,0.666,0.291,0,IN,0
E000032,2026-05-01,12,319.81,26.65,0.014,29.0,4,tablet,False,0.289,0.299,1,FR,0
E000033,2026-05-04,12,679.51,56.63,0.064,26.0,1,mobile,True,0.414,0.163,1,US,0
E000034,2026-05-04,6,56.14,9.36,0.144,26.0,4,mobile,False,0.425,0.605,1,IN,0
E000035,2026-05-02,4,279.07,69.77,0.513,28.0,3,mobile,False,0.853,0.306,0,DE,0
E000036,2026-05-07,2,48.27,24.13,0.073,23.0,3,mobile,False,0.382,0.274,0,FR,0
E000037,2026-05-07,4,266.26,66.56,0.095,23.0,2,mobile,False,0.439,0.346,2,US,1
E000038,2026-05-14,8,849.05,106.13,1.6621728805770624,16.0,2,mobile,False,0.33,0.325,3,UK,1
E000039,2026-05-04,8,461.76,57.72,0.212,,5,mobile,False,0.286,0.274,2,Other,0
E000040,2026-04-27,10,308.24,30.82,0.055,33.0,4,desktop,False,0.261,0.25,3,US,1
E000041,2026-05-09,9,1014.5,112.72,0.386,21.0,8,mobile,False,0.51,0.259,2,US,0
E000042,2026-04-28,4,136.37,34.09,0.198,32.0,5,desktop,False,0.245,0.056,2,US,1
E000043,2026-04-27,7,230.98,33.0,0.168,33.0,9,desktop,True,0.444,0.203,1,UK,0
E000044,2026-05-11,11,344.68,31.33,0.126,19.0,3,mobile,True,0.291,0.584,1,IN,1
E000045,2026-05-01,19,641.42,33.76,0.11,29.0,2,desktop,True,0.326,0.352,1,FR,0
E000046,2026-05-04,6,118.11,19.69,0.008,26.0,5,desktop,True,0.492,0.261,0,Other,0
E000047,2026-05-02,7,161.3,23.04,0.087,28.0,7,mobile,True,0.487,0.31,0,UK,1
E000048,2026-05-05,10,5654.015683406937,110.37,0.263,25.0,5,mobile,False,0.475,0.423,2,US,0
E000049,2026-05-05,8,1132.08,141.51,0.027,25.0,5,desktop,False,,0.278,1,US,0
E000050,2026-04-29,11,332.0,30.18,0.073,31.0,6,mobile,True,0.225,0.144,0,US,0
E000051,2026-04-28,7,520.72,74.39,0.103,32.0,6,mobile,True,0.197,0.154,2,BR,0
E000052,2026-05-11,8,368.96,46.12,0.318,19.0,1,mobile,False,0.417,0.264,1,US,1
E000053,2026-05-04,10,280.46,28.05,0.056,26.0,7,desktop,False,0.463,0.119,1,US,0
E000054,2026-05-07,6,483.55,80.59,0.064,23.0,3,desktop,False,0.426,0.42,0,Other,1
E000055,2026-05-04,6,208.15,34.69,0.267,26.0,3,desktop,False,,0.057,1,DE,1
E000056,2026-05-02,13,1235.58,95.04,0.148,,4,desktop,False,0.366,0.346,0,US,1
E000057,2026-05-03,9,330.62,36.74,0.018,27.0,3,mobile,True,0.361,0.141,1,BR,1
E000058,2026-04-18,8,552.66,69.08,0.02,42.0,2,desktop,True,0.696,0.337,2,UK,1
E000059,2026-04-28,8,299.86,37.48,0.101,32.0,3,mobile,False,0.64,0.255,2,IN,0
E000060,2026-05-02,6,420.16,70.03,0.181,28.0,5,mobile,True,0.504,0.331,2,FR,0
E000061,2026-04-28,6,115.78,19.3,0.076,32.0,5,desktop,True,0.227,0.263,0,US,0
E000062,2026-05-12,8,151.46,18.93,0.024,18.0,5,mobile,True,0.358,0.148,3,US,1
E000063,2026-05-07,8,628.85,78.61,0.085,23.0,2,desktop,False,0.722,0.352,1,US,0
E000064,2026-05-02,7,348.47,49.78,0.083,28.0,3,desktop,False,0.352,0.367,0,BR,1
E000065,2026-05-06,7,238.46,34.07,0.144,24.0,6,desktop,False,0.276,0.157,1,UK,1
E000066,2026-05-05,8,443.4,55.43,0.172,25.0,2,desktop,False,0.347,0.201,0,BR,1
E000067,2026-04-30,8,149.57,18.7,0.012,30.0,3,desktop,True,0.305,0.102,1,UK,0
E000068,2026-05-06,10,944.79,94.48,0.071,24.0,3,mobile,False,0.57,0.378,0,US,1
E000069,2026-05-03,4,100.21,25.05,0.194,27.0,5,mobile,False,0.471,0.16,1,US,1
E000070,2026-05-05,4,168.39,42.1,0.186,25.0,4,mobile,True,0.509,0.654,0,US,1
E000071,2026-05-01,7,269.41,38.49,,29.0,7,mobile,False,0.385,0.212,1,UK,0
E000072,2026-04-25,12,1491.23,124.27,0.155,35.0,5,mobile,True,0.549,0.341,0,DE,1
E000073,2026-04-15,8,102.63,12.83,0.255,45.0,4,desktop,False,0.573,0.329,1,Other,1
E000074,2026-05-05,9,133.92,14.88,0.123,25.0,3,mobile,True,0.276,0.308,1,US,0
E000075,2026-05-01,10,116.47,11.65,0.296,29.0,3,mobile,True,0.5,0.072,0,FR,0
E000076,2026-05-05,15,781.16,52.08,0.207,25.0,2,mobile,False,0.308,0.217,3,US,0
E000077,2026-04-29,4,139.72,34.93,0.246,31.0,1,mobile,False,0.379,0.14,3,BR,1
E000078,2026-05-09,10,1425.87,142.59,0.096,21.0,5,desktop,True,0.465,0.3,0,US,1
E000079,2026-05-10,10,627.58,62.76,0.293,20.0,3,desktop,False,0.489,0.317,1,FR,0
E000080,2026-05-05,10,160.08,16.01,0.138,25.0,5,desktop,False,0.399,0.253,1,US,0
E000081,2026-05-12,12,454.22,37.85,0.257,18.0,5,desktop,True,,0.155,0,US,0
E000082,2026-05-16,7,504.86,72.12,0.128,14.0,4,mobile,False,0.732,0.513,1,DE,0
E000083,2026-05-04,10,427.13,42.71,0.082,26.0,3,desktop,False,0.509,0.052,0,US,0
E000084,2026-05-03,7,249.49,35.64,0.321,,4,mobile,False,0.581,0.515,1,UK,1
E000085,2026-05-06,12,369.72,30.81,0.231,24.0,5,mobile,False,0.222,0.254,1,US,1
E000086,2026-05-03,8,344.77,43.1,0.466,27.0,5,mobile,False,0.183,0.02,1,Other,1
E000087,2026-05-01,4,84.94,21.24,0.097,29.0,3,desktop,False,0.507,0.209,0,US,1
E000088,2026-05-10,12,549.39,45.78,0.095,20.0,3,mobile,False,0.774,0.482,2,DE,0
E000089,2026-05-08,11,646.28,58.75,0.154,22.0,2,mobile,True,0.454,0.574,1,IN,0
E000090,2026-05-07,9,321.36,35.71,0.137,23.0,6,mobile,True,0.543,0.31,1,FR,0
E000091,2026-05-10,7,334.52,47.79,0.047,20.0,5,mobile,False,0.457,0.329,0,US,1
E000092,2026-05-02,3,137.96,45.99,0.048,28.0,3,desktop,False,0.589,0.092,2,DE,0
E000093,2026-05-04,10,347.7,34.77,0.103,26.0,4,mobile,True,0.765,0.523,3,US,0
E000094,2026-05-04,6,561.79,93.63,0.004,26.0,3,mobile,True,0.81,0.454,2,DE,0
E000095,2026-05-10,4,37.85,9.46,0.032,20.0,5,mobile,True,0.532,0.287,1,UK,0
E000096,2026-05-11,9,144.81,16.09,0.066,19.0,4,desktop,True,0.519,0.302,0,BR,1
E000097,2026-05-07,12,772.09,64.34,0.197,23.0,5,mobile,True,0.489,0.131,1,IN,1
E000098,2026-05-03,6,481.99,80.33,0.6,27.0,4,mobile,False,0.289,0.19,0,US,0
E000099,2026-05-03,4,135.4,33.85,0.251,27.0,5,mobile,True,0.785,0.101,0,US,1
E000100,2026-05-06,8,665.26,83.16,0.135,24.0,5,tablet,False,0.602,0.394,0,US,1
E000101,2026-04-22,6,170.15,28.36,0.072,38.0,6,tablet,False,0.747,0.162,0,DE,0
E000102,2026-05-05,11,304.3,27.66,0.03,25.0,4,desktop,False,0.562,0.474,2,US,0
E000103,2026-05-06,5,287.29,57.46,0.157,24.0,1,mobile,False,0.43,0.423,0,FR,0
E000104,2026-05-10,10,691.55,69.15,0.182,20.0,5,tablet,False,0.416,0.302,1,UK,1
E000105,2026-05-12,8,356.2,44.53,0.187,18.0,4,desktop,False,0.689,0.131,0,Other,0
E000106,2026-04-26,9,1260.96,140.11,,34.0,3,desktop,False,0.656,0.417,3,UK,1
E000107,2026-05-01,4,282.05,70.51,0.119,29.0,3,mobile,True,0.393,0.45,2,US,0
E000108,2026-05-10,6,43.6,7.27,0.419,20.0,4,mobile,False,0.519,0.237,0,US,0
E000109,2026-05-01,4,187.17,46.79,0.186,29.0,5,mobile,False,0.389,0.175,2,DE,0
E000110,2026-05-02,15,1002.11,66.81,0.238,28.0,4,tablet,False,0.601,0.782,0,US,0
E000111,2026-05-03,7,660.47,94.35,0.338,27.0,4,mobile,True,0.541,0.181,2,US,0
E000112,2026-05-02,4,452.74,113.19,0.128,28.0,2,mobile,True,0.634,0.123,0,US,1
E000113,2026-05-16,6,382.67,63.78,0.213,14.0,6,mobile,False,0.283,0.488,0,BR,1
E000114,2026-05-09,8,395.02,49.38,0.254,21.0,4,desktop,True,0.258,0.257,0,Other,0
E000115,2026-05-06,9,522.18,58.02,0.201,24.0,3,mobile,True,0.591,0.334,2,US,0
E000116,2026-05-03,7,373.11,53.3,0.192,27.0,5,desktop,False,0.531,0.357,2,US,0
E000117,2026-05-06,8,56.81,7.1,0.003,24.0,3,desktop,False,0.39,0.094,2,UK,0
E000118,2026-05-03,11,730.05,66.37,0.041,27.0,2,desktop,True,0.619,0.183,0,US,1
E000119,2026-04-19,5,82.36,16.47,0.119,41.0,5,mobile,True,0.135,0.177,2,Other,0
E000120,2026-04-24,8,1577.04,197.13,0.049,36.0,3,desktop,False,0.827,0.305,0,UK,1
E000121,2026-05-04,6,220.16,36.69,0.275,26.0,2,desktop,False,0.43,0.144,1,FR,1
E000122,2026-05-02,6,380.22,63.37,0.212,,3,desktop,False,0.289,0.331,0,Other,1
E000123,2026-05-08,8,597.76,74.72,0.01,,3,mobile,False,0.497,0.332,1,FR,0
E000124,2026-05-02,6,497.27,82.88,0.041,,7,mobile,True,0.347,0.53,1,US,0
E000125,2026-05-02,10,640.31,64.03,0.233,28.0,4,mobile,False,0.506,0.138,1,DE,1
E000126,2026-05-06,6,304.4,50.73,0.109,24.0,3,mobile,False,0.345,0.366,0,UK,1
E000127,2026-05-03,7,1772.11,253.16,0.23,27.0,4,mobile,False,0.19,0.417,2,UK,1
E000128,2026-05-06,8,866.13,108.27,0.009,24.0,1,mobile,False,0.689,0.098,1,Other,1
E000129,2026-05-07,9,205.84,22.87,0.312,23.0,4,mobile,True,0.273,0.241,1,US,1
E000130,2026-05-07,9,334.93,37.21,0.082,23.0,4,desktop,True,0.615,0.18,0,UK,0
E000131,2026-05-05,8,2281.66,285.21,0.111,25.0,3,mobile,False,0.477,0.128,0,US,1
E000132,2026-05-09,5,43.19,8.64,0.071,21.0,2,tablet,True,0.488,0.162,0,US,0
E000133,2026-05-04,5,174.87,34.97,0.372,26.0,3,desktop,False,0.431,0.141,1,DE,0
E000134,2026-05-09,15,312.21,20.81,0.082,21.0,7,mobile,False,0.54,0.127,2,BR,0
E000135,2026-05-07,10,245.28,24.53,0.053,23.0,5,desktop,True,0.29,0.139,1,FR,0
E000136,2026-05-08,7,94.53,13.5,0.105,22.0,2,mobile,False,0.892,0.085,0,US,0
E000137,2026-05-03,10,690.64,69.06,0.123,27.0,3,tablet,False,0.512,0.086,1,US,0
E000138,2026-05-14,12,1057.49,88.12,0.189,16.0,4,mobile,False,,0.286,2,UK,1
E000139,2026-05-08,5,252.59,50.52,0.226,22.0,4,desktop,True,0.626,0.398,1,UK,0
E000140,2026-05-11,7,,44.07,0.37,19.0,5,mobile,True,0.299,0.271,2,BR,1
E000141,2026-05-04,9,266.36,29.6,0.239,26.0,4,mobile,True,0.179,0.14,1,FR,1
E000142,2026-05-08,7,661.66,94.52,0.02,22.0,5,mobile,True,0.742,0.227,1,IN,0
E000143,2026-05-05,4,387.47,96.87,0.13,25.0,4,tablet,False,0.821,0.175,3,IN,0
E000144,2026-04-24,7,950.76,135.82,0.018,36.0,4,desktop,True,0.122,0.481,0,US,1
E000145,2026-05-07,5,92.45,18.49,0.34,23.0,3,mobile,True,0.362,0.281,1,FR,1
E000146,2026-05-07,11,330.88,30.08,0.059,23.0,1,mobile,False,0.463,0.156,2,BR,1
E000147,2026-05-01,6,254.77,42.46,0.127,,3,mobile,True,0.641,0.524,0,Other,0
E000148,2026-05-02,13,1010.94,77.76,0.069,28.0,4,mobile,True,0.167,0.089,3,UK,0
E000149,2026-05-05,9,327.48,36.39,0.34,25.0,6,mobile,False,0.163,0.223,0,FR,0
E000150,2026-05-01,4,290.61,72.65,0.221,29.0,4,mobile,False,0.345,0.309,2,US,1
E000151,2026-05-06,4,52.62,13.15,0.073,24.0,3,desktop,True,0.201,0.328,1,BR,0
E000152,2026-05-08,9,636.6,70.73,0.058,22.0,3,desktop,False,0.26,0.315,0,Other,0
E000153,2026-05-07,12,337.4,28.12,0.105,,3,mobile,False,0.317,0.69,1,Other,0
E000154,2026-04-30,6,116.82,19.47,0.005,30.0,3,desktop,True,0.445,0.567,0,US,0
E000155,2026-05-13,5,218.16,43.63,0.058,17.0,6,mobile,True,0.559,0.55,1,US,0
E000156,2026-05-03,5,340.33,68.07,0.135,27.0,7,desktop,False,0.389,0.203,1,BR,1
E000157,2026-05-05,9,171.53,19.06,0.077,25.0,3,mobile,True,0.561,0.331,0,FR,0
E000158,2026-05-15,10,1260.02,126.0,0.121,15.0,5,desktop,False,0.18,0.169,2,Other,0
E000159,2026-05-05,8,216.82,27.1,0.099,25.0,2,desktop,True,0.436,0.381,1,US,1
E000160,2026-05-01,12,2938.45,244.87,0.015,29.0,5,desktop,True,0.344,0.108,0,IN,0
E000161,2026-05-04,9,188.49,20.94,0.269,26.0,2,mobile,False,0.281,0.306,0,FR,0
E000162,2026-04-27,10,239.31,23.93,0.069,33.0,4,tablet,False,0.229,0.263,0,US,0
E000163,2026-05-13,10,226.16,22.62,0.185,17.0,4,mobile,True,0.265,0.365,0,US,1
E000164,2026-05-09,9,388.08,43.12,0.103,21.0,4,mobile,True,0.402,0.214,2,BR,0
E000165,2026-05-02,12,1233.79,102.82,0.059,28.0,4,desktop,False,0.299,0.331,1,US,1
E000166,2026-05-07,11,,29.26,0.076,23.0,2,mobile,False,0.29,0.161,0,IN,0
E000167,2026-05-06,5,201.76,40.35,0.023,24.0,2,desktop,False,0.247,0.344,0,DE,1
E000168,2026-05-07,7,213.53,30.5,0.064,23.0,4,desktop,True,0.417,0.271,1,UK,1
E000169,2026-05-03,7,468.71,66.96,0.04,27.0,5,mobile,False,0.406,0.737,1,US,0
E000170,2026-05-08,6,318.82,53.14,0.114,22.0,4,tablet,True,0.258,0.214,0,Other,1
E000171,2026-05-02,5,1619.46,323.89,0.182,28.0,4,mobile,True,0.391,0.293,0,BR,1
E000172,2026-05-07,5,2206.5573039786227,56.33,0.141,23.0,3,mobile,True,0.211,0.159,2,BR,1
E000173,2026-05-03,12,759.98,63.33,0.071,27.0,7,mobile,True,0.438,0.365,0,BR,0
E000174,2026-05-09,9,701.61,77.96,0.299,21.0,5,tablet,False,0.362,0.18,1,DE,1
E000175,2026-05-07,6,77.3,12.88,0.214,23.0,6,mobile,True,0.223,0.499,2,Other,0
E000176,2026-05-02,9,213.85,23.76,0.007,28.0,3,mobile,False,0.433,0.114,0,DE,0
E000177,2026-05-05,6,357.89,59.65,0.166,25.0,3,mobile,True,0.323,0.042,0,DE,0
E000178,2026-05-10,8,1009.93,126.24,0.027,20.0,3,tablet,True,0.674,0.407,1,US,1
E000179,2026-05-08,11,383.24,34.84,0.21,22.0,2,desktop,False,,0.225,2,US,0
E000180,2026-05-03,8,311.54,38.94,0.407,27.0,6,desktop,False,0.222,0.606,0,BR,1
E000181,2026-04-29,12,388.63,32.39,,31.0,5,desktop,True,,0.145,0,US,0
E000182,2026-04-29,8,437.54,54.69,,31.0,3,desktop,True,0.257,0.414,2,BR,0
E000183,2026-05-11,12,1678.02,139.84,0.23,19.0,5,mobile,False,0.312,0.097,2,Other,0
E000184,2026-04-30,8,265.57,33.2,0.387,30.0,4,mobile,False,0.447,0.208,1,UK,0
E000185,2026-05-08,2,229.45,114.73,0.265,22.0,5,desktop,False,0.205,0.334,0,US,1
E000186,2026-04-29,11,112.59,10.24,0.335,31.0,3,desktop,False,0.609,0.115,1,FR,1
E000187,2026-05-04,7,616.01,88.0,0.098,26.0,2,mobile,True,0.334,0.583,2,US,1
E000188,2026-05-04,7,378.09,54.01,0.031,26.0,4,mobile,False,0.573,0.107,1,IN,1
E000189,2026-05-04,12,469.61,39.13,0.171,26.0,5,desktop,True,0.385,0.352,1,DE,1
E000190,2026-05-10,2,164.21,82.1,0.318,20.0,4,mobile,True,0.098,0.561,0,UK,1
E000191,2026-05-05,6,266.74,44.46,0.07,,2,tablet,False,0.714,0.21,1,DE,1
E000192,2026-04-25,6,66.83,11.14,0.026,35.0,4,mobile,True,0.292,0.331,1,UK,1
E000193,2026-04-29,7,276.69,39.53,0.266,31.0,4,mobile,False,0.466,0.368,1,US,1
E000194,2026-05-09,6,267.55,44.59,0.063,21.0,5,desktop,True,0.362,0.09,1,US,0
E000195,2026-05-09,8,297.27,37.16,0.066,21.0,6,mobile,False,0.137,0.747,0,UK,0
E000196,2026-05-08,15,516.49,34.43,0.532,22.0,3,mobile,False,0.463,0.132,1,Other,0
E000197,2026-04-25,9,298.26,33.14,0.097,35.0,2,desktop,False,,0.249,0,US,0
E000198,2026-04-28,7,245.1,35.01,0.116,32.0,4,desktop,False,0.722,0.279,1,US,0
E000199,2026-05-02,12,322.75,26.9,0.049,28.0,3,mobile,True,0.292,0.278,1,US,1
E000200,2026-05-05,6,216.8,36.13,0.101,25.0,4,mobile,False,0.187,0.36,0,UK,0
E000201,2026-04-25,15,947.44,63.16,0.02,35.0,4,desktop,False,0.411,0.134,2,US,0
E000202,2026-05-06,4,42.94,10.74,0.303,24.0,3,tablet,False,0.332,0.071,1,BR,0
E000203,2026-05-05,10,361.79,36.18,0.192,25.0,1,mobile,True,0.315,0.613,1,US,0
E000204,2026-05-03,9,387.23,43.03,0.056,27.0,3,mobile,True,0.342,0.244,0,FR,1
E000205,2026-05-01,8,364.68,45.59,0.518,29.0,8,mobile,True,0.617,0.211,2,US,1
E000206,2026-05-06,7,139.5,19.93,0.052,24.0,3,mobile,False,0.575,0.092,2,UK,1
E000207,2026-05-14,12,674.4,56.2,0.105,16.0,3,mobile,False,0.095,0.095,1,US,0
E000208,2026-05-07,9,394.14,43.79,0.004,23.0,5,desktop,False,0.602,0.139,1,BR,1
E000209,2026-04-30,4,118.22,29.55,0.184,30.0,5,mobile,False,0.496,0.091,1,Other,1
E000210,2026-04-30,11,281.33,25.58,0.186,30.0,4,mobile,False,0.459,0.212,1,US,0
E000211,2026-05-03,10,569.66,56.97,0.18,27.0,6,desktop,False,0.418,0.191,2,Other,1
E000212,2026-05-02,10,151.77,15.18,0.21,28.0,3,desktop,True,,0.229,0,US,1
E000213,2026-05-09,5,277.84,55.57,0.006,21.0,5,mobile,False,0.394,0.53,1,DE,1
E000214,2026-05-02,7,391.96,55.99,0.045,28.0,4,desktop,False,0.282,0.172,0,BR,0
E000215,2026-05-04,13,172.14,13.24,0.202,26.0,4,desktop,True,0.195,0.404,3,US,0
E000216,2026-04-30,6,276.35,46.06,0.239,30.0,2,desktop,True,0.469,0.138,0,UK,0
E000217,2026-05-07,5,101.98,20.4,0.036,23.0,6,mobile,True,0.414,0.196,0,US,0
E000218,2026-05-01,8,1219.65,152.46,0.23,29.0,4,mobile,False,0.479,0.448,2,FR,1
E000219,2026-05-02,12,225.43,18.79,0.302,143.08469798504652,1,tablet,True,0.408,0.213,0,UK,0
E000220,2026-05-05,9,1134.55,126.06,0.09,25.0,5,mobile,True,0.299,0.349,1,Other,0
E000221,2026-05-05,7,259.79,37.11,0.402,25.0,3,mobile,True,0.384,0.121,0,US,0
E000222,2026-04-27,12,659.96,55.0,0.149,33.0,3,mobile,False,0.286,0.443,0,Other,1
E000223,2026-05-09,6,,55.4,0.046,21.0,6,desktop,False,0.175,0.291,1,US,1
E000224,2026-05-03,2,29.63,14.82,0.217,27.0,2,tablet,False,0.374,0.316,1,DE,1
E000225,2026-04-28,9,272.02,30.22,0.246,32.0,5,mobile,False,0.35,0.189,1,US,1
E000226,2026-05-14,5,165.9,33.18,0.046,16.0,4,tablet,True,0.41,0.245,3,US,0
E000227,2026-04-29,11,159.66,14.51,0.242,31.0,2,mobile,True,0.62,0.581,3,US,0
E000228,2026-04-26,5,189.93,37.99,0.357,34.0,6,desktop,False,0.174,0.547,2,FR,1
E000229,2026-05-02,5,228.54,45.71,0.141,28.0,3,desktop,False,0.516,0.225,0,US,0
E000230,2026-05-11,12,217.43,18.12,0.244,19.0,3,mobile,False,0.485,0.084,1,DE,0
E000231,2026-05-14,2,231.78,115.89,0.524,16.0,3,mobile,True,0.421,0.026,1,Other,1
E000232,2026-05-02,6,,24.27,0.171,28.0,3,mobile,False,0.659,0.055,2,US,1
E000233,2026-05-03,11,183.48,16.68,0.035,27.0,6,tablet,True,0.524,0.461,1,US,0
E000234,2026-05-11,6,550.3,91.72,0.198,19.0,4,desktop,False,0.278,0.187,0,US,0
E000235,2026-05-10,3,61.3,20.43,0.154,20.0,6,tablet,False,,0.037,2,US,0
E000236,2026-04-25,7,183.3,26.19,0.247,35.0,6,desktop,False,0.836,0.204,1,UK,1
E000237,2026-05-07,14,1176.71,84.05,0.114,23.0,6,mobile,False,0.373,0.465,2,BR,1
E000238,2026-05-03,9,242.22,26.91,0.051,27.0,5,desktop,False,0.496,0.191,2,US,0
E000239,2026-05-09,2,186.38,93.19,0.139,21.0,3,mobile,False,0.44,0.03,1,US,0
E000240,2026-05-03,10,442.03,44.2,0.188,27.0,4,mobile,False,0.234,0.21,1,FR,0
E000241,2026-05-01,10,282.26,28.23,0.02,29.0,7,desktop,True,0.645,0.506,0,US,1
E000242,2026-05-04,16,929.27,58.08,0.052,26.0,4,desktop,True,0.752,0.268,0,DE,1
E000243,2026-05-04,3,82.64,27.55,0.051,26.0,4,mobile,False,0.361,0.07,0,Other,0
E000244,2026-05-05,5,494.94,98.99,0.136,25.0,3,mobile,False,0.197,0.389,1,US,0
E000245,2026-05-08,11,478.47,43.5,0.187,22.0,5,desktop,False,0.593,0.643,1,UK,0
E000246,2026-05-04,5,353.06,70.61,0.168,26.0,3,desktop,False,0.284,0.198,0,IN,0
E000247,2026-05-09,9,143.86,15.98,0.089,21.0,3,desktop,True,0.415,0.184,0,FR,1
E000248,2026-05-05,6,154.0,25.67,0.147,25.0,5,mobile,False,0.272,0.275,1,BR,1
E000249,2026-04-24,12,197.63,16.47,0.111,36.0,5,mobile,False,0.257,0.328,1,BR,1
E000250,2026-05-07,13,7987.603854811166,117.91,0.294,23.0,4,mobile,True,0.429,0.187,1,DE,0
E000251,2026-05-02,8,276.85,34.61,0.295,28.0,5,desktop,True,,0.197,1,DE,1
E000252,2026-05-16,15,328.67,21.91,0.214,14.0,4,desktop,True,0.363,0.467,4,BR,0
E000253,2026-05-05,6,179.17,29.86,0.254,25.0,9,mobile,False,0.36,0.123,1,FR,1
E000254,2026-04-23,12,305.19,25.43,0.194,37.0,3,mobile,True,0.736,0.37,1,FR,1
E000255,2026-05-01,10,1496.16,149.62,0.263,29.0,2,mobile,False,0.402,0.381,1,US,1
E000256,2026-05-02,9,554.24,61.58,0.232,28.0,2,desktop,True,0.394,0.331,0,IN,0
E000257,2026-05-07,16,292.38,18.27,0.042,23.0,5,desktop,True,0.294,0.06,1,US,0
E000258,2026-05-07,9,279.04,31.0,0.165,23.0,6,mobile,True,0.598,0.103,1,US,1
E000259,2026-04-30,8,394.83,49.35,0.031,30.0,1,mobile,True,0.368,0.366,2,US,1
E000260,2026-05-12,9,514.2,57.13,0.187,18.0,4,desktop,False,0.404,0.36,0,US,1
E000261,2026-05-05,13,572.48,44.04,0.007,25.0,2,mobile,False,0.49,0.701,2,FR,1
E000262,2026-05-04,9,189.79,21.09,0.131,26.0,3,desktop,False,0.706,0.43,0,US,0
E000263,2026-05-08,10,658.93,65.89,0.319,22.0,3,mobile,False,0.346,0.542,1,FR,1
E000264,2026-05-12,10,441.84,44.18,0.017,18.0,2,mobile,True,0.394,0.347,0,UK,0
E000265,2026-05-04,7,422.73,60.39,0.147,26.0,3,tablet,False,0.425,0.341,0,US,1
E000266,2026-05-12,10,96.54,9.65,0.027,18.0,5,mobile,False,,0.492,1,US,0
E000267,2026-05-07,10,509.86,50.99,0.191,23.0,6,mobile,False,0.452,0.139,0,DE,0
E000268,2026-04-29,7,721.84,103.12,0.167,31.0,3,mobile,False,,0.246,0,BR,1
E000269,2026-05-07,9,378.2,42.02,0.078,23.0,3,mobile,True,0.347,0.489,1,US,0
