client_id,activity_date,contract_type,monthly_charges,total_charges,tenure_months,calls_to_support,avg_call_duration_min,data_usage_gb,international_plan,has_technical_issues,payment_delay_count,competitor_offer_seen,region,churned
T000049,2026-05-17,One year,65.22,1592.12,26,2,19.9,6.15,True,False,0,True,South,0
T000050,2026-05-16,Month-to-month,37.32,831.17,21,1,7.4,30.32,False,False,1,False,North,1
T000051,2026-05-23,Month-to-month,60.26,1054.01,17,1,5.6,15.55,False,False,0,False,South,1
T000052,2026-05-15,Month-to-month,26.87,582.28,20,2,10.0,12.88,False,False,0,False,North,1
T000053,2026-05-19,One year,150.0,3692.4,23,6,4.5,14.15,False,True,1,False,West,1
T000054,2026-05-19,One year,119.03,2872.3,24,1,2.4,21.17,False,False,2,True,West,0
T000055,2026-05-23,One year,102.41,3154.52,32,0,6.3,3.82,True,False,1,True,West,0
T000056,2026-05-20,One year,87.54,2441.76,27,3,8.3,29.11,False,False,1,False,North,0
T000057,2026-05-12,Month-to-month,60.04,1586.9,28,1,1.0,3.07,False,False,0,False,West,0
T000058,2026-05-21,One year,60.7,1349.78,22,2,4.4,5.08,False,False,0,False,North,0
T000059,2026-05-15,Month-to-month,58.39,1124.34,20,1,15.8,22.21,False,False,0,True,West,0
T000060,2026-05-16,Month-to-month,136.31,4039.85,30,2,8.0,27.65,False,True,0,False,East,0
T000061,2026-05-23,One year,59.24,738.83,14,1,1.0,7.93,False,False,2,False,South,0
T000062,2026-05-17,Month-to-month,48.08,957.51,20,2,8.0,23.94,False,False,0,False,North,0
T000063,2026-05-24,One year,61.86,1867.05,30,3,9.4,9.35,True,False,1,False,West,0
T000064,2026-05-21,One year,80.51,2115.86,27,0,7.9,3.27,True,True,1,True,Central,0
T000065,2026-05-19,One year,20.0,318.65,16,2,11.1,7.32,False,False,0,False,East,0
T000066,2026-05-16,One year,76.8,1670.66,23,2,6.8,3.99,False,True,2,False,Central,1
T000067,2026-05-20,One year,20.0,,17,5,12.1,12.08,False,False,1,False,Central,0
T000068,2026-05-14,Month-to-month,109.16,3060.35,28,2,8.0,15.15,False,False,2,True,North,0
T000069,2026-05-12,Month-to-month,20.0,622.68,28,2,8.5,17.13,False,False,0,False,West,1
T000070,2026-05-22,Month-to-month,40.9,1203.57,29,3,9.4,4.17,False,True,2,False,South,1
T000071,2026-05-21,Month-to-month,20.0,611.47,30,1,10.8,17.21,False,False,2,False,East,0
T000072,2026-05-18,Month-to-month,119.02,2092.17,18,1,9.4,19.09,False,False,0,False,North,0
T000073,2026-05-20,Two year,64.63,1575.13,23,5,5.0,35.49,False,False,1,False,Central,0
T000074,2026-05-15,Month-to-month,486.9630552216924,2192.57,17,4,14.4,7.75,False,False,0,True,West,1
T000075,2026-05-24,Month-to-month,124.64,1895.74,14,1,4.9,5.17,False,False,1,True,South,0
T000076,2026-05-19,Month-to-month,,2668.51,24,3,4.5,6.38,False,True,0,True,South,1
T000077,2026-05-23,Month-to-month,22.95,491.94,22,2,1.0,14.19,False,True,2,False,South,0
T000078,2026-05-24,One year,69.96,2345.85,34,3,,11.84,False,False,1,False,West,0
T000079,2026-05-15,One year,105.99,2349.25,23,3,6.0,10.51,False,True,0,False,Central,0
T000080,2026-05-26,One year,76.66,2003.14,28,2,8.3,7.69,False,False,1,False,South,0
T000081,2026-05-21,One year,53.9,929.84,17,5,,79.85434033193113,False,False,2,False,East,1
T000082,2026-05-17,Month-to-month,75.55,2191.33,29,5,14.6,,False,False,0,False,East,1
T000083,2026-05-17,Two year,,2349.7,29,4,5.7,9.75,False,False,1,False,South,0
T000084,2026-05-20,Month-to-month,20.68,453.89,22,2,5.7,78.67,False,False,3,False,East,1
T000085,2026-05-21,Month-to-month,47.99,1051.84,21,6,7.7,4.18,False,False,1,False,North,1
T000086,2026-05-17,Month-to-month,84.59,1181.49,14,2,9.5,7.95,False,False,1,True,North,0
T000087,2026-05-20,One year,,2077.87,23,1,12.8,5.41,False,False,0,False,South,0
T000088,2026-05-19,Month-to-month,72.3,2178.51,30,0,10.1,6.59,False,True,1,False,Central,0
T000089,2026-05-21,Month-to-month,52.76,1478.74,27,4,10.0,9.97,False,False,3,True,South,1
T000090,2026-05-15,Month-to-month,59.24,1802.53,31,0,8.5,15.67,False,False,2,False,North,1
T000091,2026-05-23,Month-to-month,42.37,753.01,17,5,,12.41,False,False,0,True,West,1
T000092,2026-05-15,One year,61.88,1609.13,27,2,5.5,100.0,True,True,2,False,Central,0
T000093,2026-05-23,Month-to-month,90.5,2316.1,26,4,1.0,3.31,False,True,1,True,South,1
T000094,2026-05-24,Month-to-month,137.85,2124.83,17,2,6.7,9.12,False,True,2,False,North,1
T000095,2026-05-21,Month-to-month,28.87,851.4,30,0,10.6,20.2,True,False,0,False,West,0
T000096,2026-05-21,One year,103.0,2527.85,26,1,7.0,1.29,False,True,2,True,South,1
T000097,2026-05-25,Month-to-month,76.48,2672.52,34,0,9.7,21.68,False,False,1,True,West,0
T000098,2026-05-23,Month-to-month,20.0,451.2,22,2,15.6,37.34,False,False,1,False,South,1
T000099,2026-05-22,Month-to-month,62.07,1382.75,21,2,8.4,9.29,False,True,0,False,North,0
T000100,2026-05-14,Two year,59.54,1547.68,24,3,10.3,7.0,False,False,4,True,South,1
T000101,2026-05-25,Two year,64.95,1739.41,27,2,8.5,8.14,False,False,2,True,West,0
T000102,2026-05-22,One year,96.43,2786.27,30,1,4.7,15.91,False,False,1,False,South,0
T000103,2026-05-16,Month-to-month,124.25,2288.89,18,3,7.1,,True,True,0,False,North,0
T000104,2026-05-17,Two year,103.85,2545.93,25,3,3.6,19.66,False,False,1,False,South,0
T000105,2026-05-19,One year,71.38,2215.22,32,3,11.4,6.21,False,False,1,True,West,0
T000106,2026-05-25,One year,74.72,1269.11,17,1,11.7,25.23,False,True,1,False,North,1
T000107,2026-05-22,Month-to-month,127.37,2843.27,23,0,7.6,11.01,False,False,3,True,West,1
T000108,2026-05-25,Month-to-month,33.24,1063.18,29,3,15.1,92.9,False,False,0,False,East,0
T000109,2026-05-21,Month-to-month,102.26,8004.874644796257,21,3,7.1,5.44,False,False,1,True,South,0
T000110,2026-05-17,Two year,30.58,854.97,28,4,11.5,37.67,True,True,1,False,Central,0
T000111,2026-05-17,Month-to-month,20.0,457.81,22,1,7.0,6.87,False,False,0,False,Central,0
T000112,2026-05-14,Month-to-month,83.94,2048.77,22,6,9.8,4.43,False,False,1,False,South,0
T000113,2026-05-21,Month-to-month,20.0,395.49,20,1,2.4,11.97,False,False,1,False,North,0
T000114,2026-05-16,One year,53.22,1591.74,33,4,6.0,4.73,False,False,2,False,South,1
T000115,2026-05-23,Month-to-month,106.23,3068.82,29,4,8.3,16.21,True,False,0,False,North,0
T000116,2026-05-20,Two year,37.58,1031.33,30,0,11.4,26.84,False,False,1,False,East,0
T000117,2026-05-15,One year,118.9,3243.36,28,1,8.2,8.29,False,False,1,False,Central,0
T000118,2026-05-18,One year,20.0,386.96,18,1,13.5,6.25,False,False,1,True,Central,0
T000119,2026-05-22,Month-to-month,96.33,3051.45,33,3,6.6,26.6,False,False,0,False,South,1
T000120,2026-05-22,One year,23.48,511.71,23,6,4.3,5.36,False,False,0,False,South,0
T000121,2026-05-19,One year,59.17,1727.86,28,0,15.5,3.51,False,False,0,False,North,0
T000122,2026-05-18,One year,71.47,2050.1,29,2,1.9,24.86,False,True,0,False,East,1
T000123,2026-05-21,Month-to-month,56.53,1498.77,25,1,5.1,14.16,False,True,0,False,North,0
T000124,2026-05-24,Month-to-month,57.28,1299.1,23,2,8.0,11.71,True,False,0,False,Central,1
T000125,2026-05-20,Month-to-month,21.48,687.23,31,2,6.8,5.78,False,False,1,False,Central,0
T000126,2026-05-25,Month-to-month,107.45,2181.57,22,3,8.5,20.64,False,True,3,False,North,1
T000127,2026-05-25,Month-to-month,28.11,669.8,25,1,8.4,22.28,False,True,1,True,West,1
T000128,2026-05-14,Month-to-month,28.08,639.85,23,1,16.8,2.55,True,False,0,True,East,1
T000129,2026-05-18,Month-to-month,62.08,1703.22,28,2,7.0,100.0,True,False,0,False,West,1
T000130,2026-05-13,One year,44.1,1537.69,31,3,9.4,4.0,True,False,1,True,East,0
T000131,2026-05-21,Month-to-month,,2084.22,22,2,8.2,7.14,False,False,1,False,North,1
T000132,2026-05-21,Two year,48.99,1182.58,23,1,1.0,8.3,False,False,0,False,East,0
T000133,2026-05-21,One year,64.96,1674.66,26,2,3.2,2.44,False,True,1,True,North,0
T000134,2026-05-28,Month-to-month,68.43,1591.71,25,3,1.0,5.6,False,False,0,False,East,1
T000135,2026-05-17,One year,,2246.12,22,6,3.5,7.47,False,False,1,False,North,1
T000136,2026-05-16,Month-to-month,49.17,768.14,17,2,7.2,8.94,False,False,0,False,West,1
T000137,2026-05-23,Two year,,466.79,24,3,11.3,6.4,False,False,0,True,West,1
T000138,2026-05-23,Month-to-month,40.71,1214.47,29,2,13.2,30.56,False,True,0,False,North,1
T000139,2026-05-22,One year,99.12,3361.39,30,3,17.9,15.72,False,False,2,False,South,0
T000140,2026-05-15,Month-to-month,75.44,2460.21,30,3,8.2,25.51,True,False,0,False,West,1
T000141,2026-05-23,Month-to-month,53.89,1611.42,29,1,8.0,61.78745372320282,False,False,2,False,North,1
T000142,2026-05-22,Month-to-month,,1998.41,27,2,2.1,20.85,False,True,2,False,East,1
T000143,2026-05-23,Two year,57.03,1334.95,24,2,3.9,14.23,False,False,0,True,West,0
T000144,2026-05-19,One year,88.63,2628.23,29,1,11.1,22.3,False,False,2,False,South,1
T000145,2026-05-21,Month-to-month,75.12,2740.57,34,1,15.6,5.25,False,True,1,False,West,0
T000146,2026-05-21,Month-to-month,56.63,1263.89,24,4,13.5,31.3,False,False,2,True,East,1
T000147,2026-05-22,Month-to-month,92.53,2262.48,24,3,5.4,14.13,False,True,0,False,East,1
T000148,2026-05-23,Month-to-month,100.3,1435.32,14,0,3.2,12.53,False,False,0,False,North,0
T000149,2026-05-19,Month-to-month,37.42,763.77,20,1,1.0,36.89,False,False,4,False,North,0
T000150,2026-05-22,Month-to-month,37.97,1187.59,33,4,7.5,9.71,False,True,0,False,North,1
T000151,2026-05-17,Two year,137.03,4340.55,31,0,15.7,9.1,False,True,0,True,Central,0
T000152,2026-05-24,Two year,83.78,3485.66,41,1,5.8,35.02,False,True,0,False,Central,1
T000153,2026-05-23,Month-to-month,115.08,18810.836862397184,25,0,5.3,8.91,False,False,0,False,West,0
T000154,2026-05-24,One year,91.77,2097.71,22,3,6.8,10.35,False,False,0,False,North,0
T000155,2026-05-17,Month-to-month,78.78,1597.96,19,2,6.7,3.64,False,True,0,False,East,0
T000156,2026-05-22,One year,20.0,521.01,27,1,8.2,,True,True,2,True,West,1
T000157,2026-05-15,Month-to-month,28.37,988.29,34,3,1.0,27.27,False,False,0,False,West,1
T000158,2026-05-18,One year,84.51,3071.71,34,2,3.9,14.81,False,True,0,True,North,0
T000159,2026-05-23,One year,37.85,810.01,20,1,6.3,5.1,False,False,0,False,Central,0
T000160,2026-05-21,One year,60.55,1682.33,28,3,8.9,7.59,True,False,0,False,North,1
T000161,2026-05-21,Month-to-month,92.31,2625.99,27,2,,5.75,False,True,2,True,North,1
T000162,2026-05-21,Two year,69.07,1637.53,24,2,8.7,16.22,False,False,1,True,Central,0
T000163,2026-05-17,Month-to-month,76.96,1842.52,23,3,5.3,17.65,True,True,3,False,East,1
T000164,2026-05-19,Month-to-month,106.64,2567.45,25,1,11.2,7.49,False,False,5,False,South,0
T000165,2026-05-22,One year,109.61,2734.28,27,4,9.1,5.21,False,False,0,True,East,1
T000166,2026-05-23,Month-to-month,63.31,1884.91,29,1,8.6,3.19,False,True,0,True,Central,0
T000167,2026-05-21,Two year,103.22,2478.45,23,1,11.1,38.7,False,False,1,False,North,1
T000168,2026-05-18,Two year,36.18,898.86,24,5,10.2,9.75,False,False,0,False,West,1
T000169,2026-05-16,Month-to-month,71.8,1859.47,27,2,5.6,18.96,False,False,0,True,South,1
T000170,2026-05-18,Two year,81.98,2370.83,33,1,4.6,5.21,True,True,0,False,North,0
T000171,2026-05-16,Month-to-month,61.84,1871.63,29,3,13.3,9.08,False,False,0,False,South,0
T000172,2026-05-16,Month-to-month,58.34,,33,1,15.7,4.83,False,True,0,False,East,0
T000173,2026-05-16,Month-to-month,31.42,654.15,23,2,12.6,20.3,False,True,2,True,North,1
T000174,2026-05-19,Two year,63.93,1762.78,28,3,12.5,22.56,False,True,0,False,South,0
T000175,2026-05-14,Month-to-month,20.0,400.34,21,0,3.8,23.19,False,False,0,True,East,1
T000176,2026-05-16,Month-to-month,61.0,1976.17,32,4,,6.4,False,True,0,False,East,1
T000177,2026-05-23,Month-to-month,66.81,2280.78,32,2,6.8,13.21,True,True,0,False,West,1
T000178,2026-05-20,Two year,87.36,3021.88,35,1,6.6,4.59,True,False,0,True,West,0
T000179,2026-05-22,Two year,29.71,666.06,23,0,32.396235775090275,13.44,False,False,0,True,South,0
T000180,2026-05-20,One year,75.2,1839.99,24,3,9.3,22.57,True,False,1,True,South,1
T000181,2026-05-22,Two year,82.09,2421.3,33,1,9.4,8.89,False,False,3,True,East,0
T000182,2026-05-16,Two year,64.34,1675.83,25,3,4.3,10.75,False,True,0,True,East,0
T000183,2026-05-21,Month-to-month,78.42,1651.41,20,0,5.0,5.66,True,False,0,False,North,0
T000184,2026-05-22,Month-to-month,73.1,1681.61,23,1,8.8,6.24,False,False,1,False,South,1
T000185,2026-05-16,One year,20.0,410.76,21,3,7.9,6.32,False,False,0,True,North,1
T000186,2026-05-26,One year,37.34,773.02,21,1,5.6,6.85,True,False,0,False,South,1
T000187,2026-05-22,Month-to-month,129.28,3952.18,31,3,7.2,26.21,False,False,2,False,Central,1
T000188,2026-05-24,Month-to-month,84.68,1773.19,21,1,2.7,6.85,False,True,1,False,East,1
T000189,2026-05-20,One year,46.95,1082.21,25,2,10.6,11.95,False,False,1,False,South,0
T000190,2026-05-16,Month-to-month,76.0,2016.86,26,1,6.4,23.31,False,False,0,False,East,0
T000191,2026-05-22,Two year,86.33,1186.42,14,1,6.3,15.54,False,False,2,True,East,1
T000192,2026-05-20,Month-to-month,111.23,2561.01,23,4,9.9,95.84,False,False,1,True,South,1
T000193,2026-05-20,Month-to-month,53.32,932.03,18,2,12.2,20.93,False,False,1,False,South,1
T000194,2026-05-20,Two year,47.12,1728.6,36,3,8.0,9.43,False,False,0,False,West,0
T000195,2026-05-23,Month-to-month,50.07,1174.7,22,2,5.5,3.88,False,False,0,False,North,0
T000196,2026-05-26,Month-to-month,47.86,1644.16,34,3,9.6,31.47,False,False,1,False,East,0
T000197,2026-05-17,One year,46.85,1161.42,27,3,8.2,8.46,False,True,1,False,East,0
T000198,2026-05-19,Two year,70.62,1695.29,24,2,9.2,6.45,False,False,0,True,West,0
T000199,2026-05-18,Month-to-month,52.37,1322.95,25,3,11.2,5.77,False,True,0,True,Central,1
T000200,2026-05-20,Month-to-month,63.14,1700.05,27,0,7.3,4.94,False,True,0,False,West,0
T000201,2026-05-22,One year,121.17,2913.25,25,0,12.1,10.09,False,False,0,True,East,0
T000202,2026-05-20,Two year,36.26,976.87,27,2,5.7,8.01,False,False,0,False,North,0
T000203,2026-05-20,Month-to-month,75.1,1878.37,24,2,5.3,14.17,True,False,0,False,East,1
T000204,2026-05-22,Month-to-month,30.93,670.43,22,4,11.6,71.31,True,False,1,False,West,1
T000205,2026-05-18,Month-to-month,92.81,1587.42,16,5,9.8,12.79,False,True,1,False,Central,1
T000206,2026-05-17,Month-to-month,98.57,2384.11,25,3,7.4,49.12,True,False,1,True,West,1
T000207,2026-05-20,Month-to-month,38.97,628.33,17,2,7.9,9.4,False,False,1,False,North,1
T000208,2026-05-22,One year,44.12,1395.6,32,1,6.8,10.13,False,True,0,True,West,1
T000209,2026-05-24,Month-to-month,85.0,2443.56,32,0,7.2,1.91,True,False,0,True,Central,0
T000210,2026-05-17,Month-to-month,56.77,1475.27,26,3,3.1,32.21,False,True,0,False,West,1
T000211,2026-05-20,One year,107.51,3171.91,30,3,4.9,6.09,False,False,0,False,West,0
T000212,2026-05-18,One year,28.95,449.09,15,2,7.4,22.63,False,True,1,False,East,1
T000213,2026-05-20,Month-to-month,97.31,1601.91,18,3,1.7,1.68,True,False,1,True,East,1
T000214,2026-05-20,Two year,132.13,4115.44,30,1,3.460415851169445,6.99,False,False,0,False,South,0
T000215,2026-05-21,One year,76.76,1237.68,16,2,,13.38,False,False,2,True,North,1
T000216,2026-05-25,One year,45.89,1139.21,23,3,,10.21,False,True,1,False,West,0
T000217,2026-05-18,Month-to-month,41.69,991.99,24,0,15.7,6.17,False,False,1,False,Central,0
T000218,2026-05-23,Month-to-month,60.14,1957.29,32,1,9.1,14.15,False,False,2,False,Central,0
T000219,2026-05-26,Two year,85.28,13001.212273564239,21,1,7.3,21.95,False,False,1,False,South,0
T000220,2026-05-21,Month-to-month,,489.76,27,1,12.6,3.79,False,False,0,False,North,0
T000221,2026-05-24,Month-to-month,55.71,1705.22,29,1,3.6,17.96,False,False,0,False,South,0
T000222,2026-05-17,Month-to-month,68.95,1781.09,26,4,9.2,28.61,False,False,3,True,West,1
T000223,2026-05-22,One year,111.62,2195.15,21,2,9.2,26.47,False,False,2,False,East,0
T000224,2026-05-19,Two year,120.85,3250.69,27,2,7.0,12.33,False,True,2,False,Central,1
T000225,2026-05-21,Month-to-month,61.05,1421.79,22,4,1.0,9.5,True,False,1,False,South,0
T000226,2026-05-19,Two year,31.75,780.14,25,1,12.4,20.15,False,False,0,False,East,0
T000227,2026-05-24,Month-to-month,69.2,1947.81,28,1,5.7,10.58,False,True,0,False,West,1
T000228,2026-05-19,One year,70.28,1328.18,21,0,5.2,32.84,False,False,0,False,North,0
T000229,2026-05-21,One year,100.58,1829.34,19,5,2.0,77.61,True,True,0,False,Central,1
T000230,2026-05-21,Month-to-month,51.69,1123.89,21,2,,4.74,True,False,0,False,East,1
T000231,2026-05-19,Month-to-month,35.33,967.2,26,1,9.5,15.98,True,False,1,True,North,1
T000232,2026-05-22,Month-to-month,64.65,2090.64,32,2,10.2,11.31,False,True,0,False,North,0
T000233,2026-05-20,Two year,54.8,1522.7,27,2,6.2,2.44,True,False,1,False,Central,0
T000234,2026-05-22,One year,54.0,1746.35,33,1,6.8,16.67,True,True,0,False,East,0
T000235,2026-05-24,Two year,38.95,1052.75,27,1,5.2,10.88,False,True,1,True,West,0
T000236,2026-05-21,Two year,27.34,595.39,23,1,8.9,23.58,False,False,2,False,West,0
T000237,2026-05-18,Month-to-month,83.31,2356.73,29,3,7.9,24.93,False,True,1,False,South,1
T000238,2026-05-24,One year,72.92,1601.97,22,2,6.7,13.96,False,False,0,True,West,0
T000239,2026-05-19,Month-to-month,40.89,829.34,22,1,3.0,25.7,True,False,0,False,Central,1
T000240,2026-05-21,Month-to-month,89.6,2608.43,26,4,6.7,4.48,False,True,0,False,North,1
T000241,2026-05-21,Two year,,463.09,24,0,2.1,11.55,False,False,0,False,West,0
T000242,2026-05-13,One year,52.76,1652.76,31,4,5.5,111.45732314507713,False,False,0,False,South,0
T000243,2026-05-18,Month-to-month,71.46,1607.82,24,5,4.7,23.83,False,False,1,True,South,1
T000244,2026-05-21,Month-to-month,98.24,1917.85,23,3,7.0,10.61,False,False,1,False,South,1
T000245,2026-05-22,One year,48.33,1101.94,21,1,9.0,17.17,False,False,1,True,Central,0
T000246,2026-05-24,Two year,98.72,1979.98,20,1,7.3,6.38,False,False,1,False,North,0
T000247,2026-05-21,One year,45.45,1012.7,25,1,5.6,41.79,False,False,1,True,South,0
T000248,2026-05-22,Month-to-month,89.64,2976.55,35,1,6.9,25.79,False,True,3,False,West,0
T000249,2026-05-22,Month-to-month,115.46,3185.17,25,3,8.6,13.45,False,False,1,False,North,0
T000250,2026-05-18,Month-to-month,35.0,931.99,26,6,9.7,16.57,False,True,1,False,West,1
T000251,2026-05-23,One year,69.54,1029.7,17,1,13.4,17.78,False,False,1,True,Central,0
T000252,2026-05-22,Two year,81.22,,12,1,17.5,19.99,False,False,1,False,North,0
T000253,2026-05-22,Month-to-month,27.67,712.9,26,1,13.8,,False,True,0,True,North,1
T000254,2026-05-24,Month-to-month,77.97,1840.52,23,3,8.0,20.97,False,False,1,True,Central,1
T000255,2026-05-20,Month-to-month,48.01,1343.6,28,2,4.3,59.07,True,False,0,False,North,0
T000256,2026-05-14,One year,39.71,834.18,23,1,6.5,,False,False,2,True,North,0
T000257,2026-05-22,Two year,52.3,1063.51,21,1,8.8,9.33,False,False,0,False,Central,0
T000258,2026-05-26,Month-to-month,50.12,1100.41,23,3,6.3,9.28,False,False,1,False,Central,1
T000259,2026-05-22,Month-to-month,89.02,2585.87,28,3,6.7,14.64,False,False,1,True,East,1
T000260,2026-05-18,One year,64.97,1643.43,26,1,10.6,40.93,False,True,0,False,East,0
T000261,2026-05-24,Month-to-month,134.32,2481.3,19,4,7.2,17.49,True,False,2,True,Central,1
T000262,2026-05-24,Two year,48.92,1158.71,24,2,9.3,2.91,False,False,0,False,East,0
T000263,2026-05-16,Month-to-month,79.22,2274.06,30,0,7.1,5.44,False,False,2,False,East,1
T000264,2026-05-20,Month-to-month,60.48,1561.01,24,1,1.0,5.47,False,False,0,False,West,1
T000265,2026-05-24,Two year,26.71,733.57,26,2,1.0,20.33,False,False,1,False,East,0
T000266,2026-05-20,Month-to-month,112.71,3101.88,26,1,9.5,,True,False,0,True,East,1
T000267,2026-05-19,Month-to-month,68.59,1737.64,27,0,7.6,28.84,False,False,2,False,South,0
T000268,2026-05-22,Month-to-month,41.57,1142.18,27,2,8.6,47.36,False,True,1,True,East,1
T000269,2026-05-12,Month-to-month,,2801.05,35,0,9.1,24.5,False,True,0,False,East,0
T000270,2026-05-19,Month-to-month,96.0,2732.3,30,0,8.9,2.38,False,False,0,True,South,0
T000271,2026-05-16,Month-to-month,39.53,930.37,25,2,7.8,6.21,False,True,2,True,South,1
T000272,2026-05-23,Month-to-month,66.51,1769.92,28,2,13.1,9.89,False,False,0,True,West,1
T000273,2026-05-22,Month-to-month,96.21,2496.99,28,3,8.8,7.92,True,False,2,False,South,1
T000274,2026-05-20,One year,69.95,1693.17,23,0,9.0,5.84,False,False,3,False,North,0
T000275,2026-05-21,One year,81.63,1795.92,21,4,5.9,6.42,False,False,1,False,South,1
T000276,2026-05-18,Month-to-month,,1516.17,27,1,3.4,13.1,False,False,0,False,North,1
T000277,2026-05-17,Month-to-month,20.0,438.6,22,1,16.7,8.04,False,True,2,False,West,1
T000278,2026-05-17,Month-to-month,,1664.69,30,1,11.3,9.47,False,False,2,False,South,0
T000279,2026-05-23,Two year,48.18,1558.93,29,4,9.0,21.58,False,False,0,False,South,0
T000280,2026-05-21,Two year,61.73,1268.09,21,3,7.1,1.98,False,True,1,True,West,1
T000281,2026-05-18,Month-to-month,48.51,944.53,20,0,10.5,3.35,False,False,1,False,North,1
