client_id,activity_date,subscription_tier,monthly_fee,days_since_last_login,avg_session_duration_min,support_tickets_last_30d,feature_adoption_count,login_frequency_trend,nps_score,contract_length_months,has_dedicated_manager,industry,country,churned
S000109,2026-05-15,Basic,34.0,15.0,17.0,0,2,declining,1.0,30,False,Finance,CA,0
S000110,2026-05-13,Enterprise,890.0,17.0,24.3,1,1,increasing,3.0,20,False,Manufacturing,US,1
S000111,2026-05-19,Basic,80.0,11.0,5.5,2,4,declining,8.0,19,False,Tech,US,1
S000112,2026-05-19,Basic,89.0,11.0,20.0,1,1,stable,7.0,3,True,Healthcare,US,0
S000113,2026-05-03,Basic,37.0,27.0,22.5,2,3,increasing,10.0,22,False,Retail,US,0
S000114,2026-05-17,Premium,275.0,13.0,28.9,1,1,declining,4.0,8,False,Education,CA,0
S000115,2026-05-17,Basic,54.0,13.0,32.3,1,3,increasing,10.0,12,False,Tech,US,0
S000116,2026-05-12,Enterprise,981.0,18.0,29.8,1,8,increasing,3.0,4,False,Education,US,0
S000117,2026-05-15,Premium,239.0,15.0,46.5,3,9,stable,1.0,28,True,Healthcare,Other,0
S000118,2026-05-21,Premium,100.0,9.0,38.1,1,2,increasing,7.0,1,False,Retail,UK,0
S000119,2026-05-18,Basic,93.0,12.0,27.7,3,1,increasing,9.0,22,False,Tech,UK,0
S000120,2026-05-19,Premium,227.0,11.0,13.4,2,5,stable,1.0,24,False,Finance,US,0
S000121,2026-05-19,Premium,239.0,11.0,16.9,2,4,increasing,9.0,18,True,Healthcare,US,0
S000122,2026-05-17,Premium,118.0,13.0,7.9,3,5,declining,7.0,16,False,Tech,US,1
S000123,2026-05-19,Basic,64.0,11.0,26.8,1,4,declining,5.0,13,False,Finance,US,1
S000124,2026-05-18,Basic,97.0,12.0,29.0,2,5,declining,1.0,26,True,Healthcare,US,0
S000125,2026-05-10,Basic,77.0,20.0,35.7,2,0,stable,2.0,27,False,Healthcare,US,1
S000126,2026-05-13,Basic,67.0,17.0,28.2,3,2,stable,5.0,35,True,Tech,US,1
S000127,2026-05-08,Basic,85.0,22.0,37.6,1,3,stable,3.0,2,False,Finance,US,1
S000128,2026-05-19,Basic,41.0,11.0,37.9,3,3,stable,8.0,33,False,Tech,Other,1
S000129,2026-05-12,Basic,75.0,,12.7,2,1,declining,3.0,17,False,Manufacturing,US,1
S000130,2026-05-17,Premium,222.0,13.0,18.8,0,3,increasing,7.0,2,False,Education,US,0
S000131,2026-05-17,Basic,43.0,13.0,24.9,4,5,increasing,5.0,34,False,Tech,AU,1
S000132,2026-05-14,Enterprise,735.0,16.0,16.5,2,9,stable,4.0,15,False,Tech,US,1
S000133,2026-05-15,Premium,255.0,15.0,22.1,2,5,increasing,,23,True,Tech,UK,1
S000134,2026-05-05,Basic,86.0,25.0,28.6,0,0,declining,4.0,34,False,Finance,CA,1
S000135,2026-05-09,Premium,111.0,21.0,137.7656042827983,1,5,increasing,5.0,24,False,Manufacturing,UK,1
S000136,2026-05-18,Basic,85.0,12.0,25.0,3,3,stable,2.0,35,False,Finance,US,1
S000137,2026-05-13,Enterprise,796.0,17.0,13.7,3,5,declining,7.0,11,False,Tech,FR,1
S000138,2026-05-13,Basic,,17.0,31.1,1,5,increasing,4.0,27,True,Tech,DE,0
S000139,2026-05-12,Premium,295.0,18.0,30.2,1,7,stable,0.0,4,False,Tech,US,0
S000140,2026-05-11,Basic,60.0,19.0,15.8,3,1,declining,9.0,10,False,Manufacturing,US,0
S000141,2026-05-17,Basic,73.0,13.0,9.5,3,2,declining,5.0,8,True,Healthcare,US,1
S000142,2026-05-16,Basic,30.0,14.0,39.8,2,3,increasing,9.0,16,True,Healthcare,CA,0
S000143,2026-05-16,Enterprise,603.0,14.0,,1,7,increasing,0.0,4,False,Tech,US,0
S000144,2026-05-12,Premium,135.0,18.0,27.8,1,5,stable,1.0,11,False,Education,US,0
S000145,2026-05-10,Basic,93.0,20.0,20.7,1,5,increasing,4.0,2,False,Tech,UK,1
S000146,2026-05-17,Basic,41.0,,37.6,0,4,increasing,2.0,10,False,Manufacturing,Other,0
S000147,2026-05-12,Basic,88.0,18.0,30.6,5,6,stable,0.0,2,False,Manufacturing,US,1
S000148,2026-05-13,Premium,258.0,17.0,22.5,2,10,increasing,0.0,10,False,Finance,US,1
S000149,2026-05-07,Basic,39.0,23.0,36.6,1,1,increasing,7.0,31,True,Manufacturing,US,0
S000150,2026-05-17,Basic,68.0,13.0,15.3,2,5,declining,4.0,25,False,Tech,DE,0
S000151,2026-05-21,Premium,103.0,9.0,16.7,4,3,stable,1.0,2,False,Healthcare,UK,1
S000152,2026-05-17,Enterprise,990.0,13.0,29.4,3,8,stable,9.0,26,False,Tech,AU,0
S000153,2026-05-22,Basic,34.0,8.0,26.4,1,5,increasing,4.0,34,True,Finance,US,0
S000154,2026-05-19,Premium,268.0,11.0,32.6,3,2,stable,6.0,21,False,Tech,US,0
S000155,2026-05-11,Basic,76.0,19.0,39.3,1,2,stable,3.0,11,False,Tech,US,1
S000156,2026-05-14,Premium,102.0,16.0,6.4,2,6,increasing,2.0,34,False,Tech,US,0
S000157,2026-05-15,Basic,82.0,15.0,25.5,1,7,stable,,34,False,Tech,UK,0
S000158,2026-05-16,Premium,222.0,14.0,47.8,2,6,stable,4.0,28,True,Healthcare,FR,1
S000159,2026-05-17,Premium,149.0,13.0,17.8,0,3,stable,9.0,15,True,Finance,US,0
S000160,2026-05-21,Premium,181.0,9.0,16.4,2,7,stable,1.0,16,True,Tech,FR,0
S000161,2026-05-20,Basic,84.0,10.0,1.0,2,4,stable,2.0,10,False,Education,US,1
S000162,2026-05-16,Enterprise,801.0,14.0,26.2,0,5,increasing,4.0,30,True,Education,UK,0
S000163,2026-05-14,Basic,67.0,16.0,32.0,2,3,increasing,4.0,31,False,Tech,US,0
S000164,2026-05-18,Basic,67.0,12.0,31.9,4,2,stable,4.0,9,True,Finance,UK,0
S000165,2026-05-15,Premium,271.0,15.0,12.6,1,4,stable,4.0,16,False,Healthcare,US,1
S000166,2026-05-12,Basic,51.0,18.0,24.9,0,6,declining,2.0,15,False,Retail,Other,1
S000167,2026-05-09,Premium,100.0,21.0,27.7,1,4,increasing,7.0,29,False,Finance,AU,0
S000168,2026-05-21,Premium,166.0,9.0,25.6,4,5,stable,2.0,2,True,Retail,CA,1
S000169,2026-05-08,Basic,73.0,22.0,11.9,0,2,stable,,15,True,Tech,AU,1
S000170,2026-05-11,Enterprise,988.0,19.0,25.9,1,4,increasing,2.0,33,False,Tech,US,1
S000171,2026-05-15,Basic,53.0,15.0,15.2,0,3,increasing,6.0,20,False,Retail,UK,1
S000172,2026-05-21,Premium,298.0,,2.5,1,0,stable,1.0,10,False,Healthcare,US,0
S000173,2026-05-16,Basic,87.0,14.0,33.2,0,4,stable,6.0,35,False,Manufacturing,AU,0
S000174,2026-05-13,Enterprise,977.0,17.0,26.7,5,3,declining,1.0,4,True,Tech,US,1
S000175,2026-05-15,Basic,56.0,15.0,,1,3,increasing,3.0,17,True,Tech,US,0
S000176,2026-05-17,Basic,82.0,13.0,18.6,0,2,declining,10.0,28,False,Tech,DE,1
S000177,2026-05-13,Basic,173.98150473650313,17.0,32.5,1,4,increasing,1.0,14,True,Tech,US,0
S000178,2026-05-19,Enterprise,583.0,11.0,37.3,3,6,stable,7.0,35,False,Tech,FR,0
S000179,2026-05-13,Enterprise,856.0,17.0,46.0,1,7,increasing,10.0,30,True,Finance,US,0
S000180,2026-05-16,Premium,129.0,14.0,34.8,2,0,stable,7.0,31,False,Finance,DE,0
S000181,2026-05-14,Enterprise,461.0,16.0,29.6,2,2,increasing,4.0,18,False,Healthcare,AU,0
S000182,2026-05-14,Enterprise,827.0,16.0,8.4,3,2,stable,4.0,12,False,Finance,DE,0
S000183,2026-05-12,Premium,141.0,18.0,23.7,2,5,stable,4.0,27,False,Tech,US,1
S000184,2026-05-17,Basic,73.0,13.0,7.9,0,6,stable,1.0,36,True,Healthcare,US,0
S000185,2026-05-15,Premium,114.0,15.0,15.2,2,4,increasing,4.0,21,False,Tech,US,0
S000186,2026-05-16,Premium,121.0,14.0,48.5,4,1,stable,5.0,10,False,Manufacturing,US,1
S000187,2026-05-17,Basic,75.0,13.0,12.7,2,5,stable,4.0,35,False,Tech,UK,0
S000188,2026-05-15,Basic,84.0,15.0,1.0,1,3,stable,4.0,9,False,Finance,US,0
S000189,2026-05-13,Premium,249.0,17.0,34.8,2,2,declining,10.0,5,False,Manufacturing,US,1
S000190,2026-05-09,Basic,69.0,21.0,113.57479752687756,1,2,increasing,2.0,8,False,Healthcare,US,0
S000191,2026-05-19,Enterprise,542.0,11.0,34.2,0,1,stable,,8,True,Healthcare,Other,0
S000192,2026-05-21,Basic,96.0,9.0,11.0,0,4,stable,8.0,1,False,Healthcare,US,0
S000193,2026-05-09,Basic,95.0,21.0,19.9,1,5,increasing,8.0,11,False,Tech,US,0
S000194,2026-05-12,Premium,110.0,18.0,39.4,3,0,stable,2.0,21,True,Healthcare,UK,1
S000195,2026-05-23,Basic,92.0,7.0,9.1,2,1,stable,10.0,33,True,Manufacturing,US,0
S000196,2026-05-16,Basic,71.0,14.0,23.0,1,1,declining,7.0,27,False,Education,Other,1
S000197,2026-05-15,Premium,119.0,15.0,28.5,0,7,increasing,0.0,27,True,Finance,US,0
S000198,2026-05-11,Enterprise,382.0,19.0,16.4,1,1,increasing,1.0,22,True,Tech,DE,0
S000199,2026-05-11,Basic,31.0,19.0,27.9,1,8,stable,7.0,30,True,Retail,DE,0
S000200,2026-05-16,Basic,44.0,14.0,,0,3,declining,5.0,20,False,Finance,CA,0
S000201,2026-05-10,Premium,296.0,20.0,31.4,1,3,stable,6.0,29,False,Tech,DE,0
S000202,2026-05-18,Enterprise,354.0,12.0,47.1,1,5,stable,7.0,24,False,Tech,FR,0
S000203,2026-05-11,Premium,230.0,19.0,57.1,3,3,stable,5.0,6,False,Tech,US,0
S000204,2026-05-19,Basic,56.0,11.0,30.6,1,9,stable,7.0,32,False,Finance,UK,0
S000205,2026-05-11,Basic,63.0,19.0,23.7,3,4,stable,1.0,24,False,Tech,DE,1
S000206,2026-05-20,Basic,81.0,,,5,3,declining,10.0,12,True,Tech,UK,0
S000207,2026-05-20,Basic,65.0,10.0,22.2,2,6,declining,5.0,29,False,Tech,UK,0
S000208,2026-05-13,Premium,122.0,17.0,6.0,2,4,increasing,4.0,18,False,Education,US,0
S000209,2026-05-12,Basic,77.0,,24.4,2,2,stable,10.0,1,False,Tech,US,0
S000210,2026-05-13,Premium,113.0,17.0,38.0,2,4,stable,4.0,33,False,Tech,US,0
S000211,2026-05-16,Premium,202.0,14.0,7.4,3,3,increasing,7.0,18,False,Finance,US,0
S000212,2026-05-19,Premium,201.0,11.0,13.2,2,9,declining,8.0,10,True,Tech,US,0
S000213,2026-05-13,Basic,47.0,17.0,18.0,2,4,declining,6.0,18,False,Education,US,1
S000214,2026-05-20,Premium,267.0,10.0,29.5,1,4,increasing,0.0,2,False,Manufacturing,UK,0
S000215,2026-05-15,Premium,199.0,15.0,53.5,3,4,declining,2.0,33,False,Finance,DE,1
S000216,2026-05-05,Premium,125.0,25.0,15.3,1,3,increasing,5.0,12,False,Finance,UK,1
S000217,2026-05-22,Basic,90.0,8.0,26.1,0,5,increasing,7.0,15,False,Finance,DE,0
S000218,2026-05-19,Basic,61.0,11.0,25.1,2,3,increasing,9.0,24,True,Tech,US,0
S000219,2026-05-18,Enterprise,919.0,12.0,21.4,1,1,increasing,1.0,18,True,Tech,US,0
S000220,2026-05-19,Basic,88.0,11.0,24.4,3,3,increasing,2.0,3,True,Tech,DE,1
S000221,2026-05-11,Basic,87.0,19.0,151.88496917083833,3,3,declining,6.0,16,False,Tech,CA,1
S000222,2026-05-16,Basic,43.0,14.0,57.9,3,6,declining,,8,False,Healthcare,DE,1
S000223,2026-05-16,Premium,106.0,14.0,34.0,4,1,stable,1.0,11,False,Tech,DE,1
S000224,2026-05-20,Enterprise,557.0,10.0,19.5,2,4,stable,1.0,16,False,Tech,DE,0
S000225,2026-05-16,Basic,92.0,14.0,39.2,1,3,declining,5.0,4,True,Finance,FR,0
S000226,2026-05-19,Enterprise,546.0,11.0,28.1,2,7,stable,10.0,14,False,Finance,FR,0
S000227,2026-05-15,Basic,71.0,15.0,25.7,3,2,declining,0.0,8,False,Tech,FR,1
S000228,2026-05-17,Premium,220.0,13.0,22.8,1,3,increasing,9.0,34,False,Tech,US,1
S000229,2026-05-15,Premium,158.0,15.0,22.0,0,2,increasing,9.0,16,True,Tech,US,0
S000230,2026-05-14,Basic,31.0,16.0,10.4,1,5,stable,8.0,20,True,Tech,US,1
S000231,2026-05-17,Basic,90.0,13.0,4.9,1,2,declining,1.0,3,False,Retail,UK,0
S000232,2026-05-22,Basic,66.0,8.0,29.4,2,3,stable,1.0,32,True,Manufacturing,FR,1
S000233,2026-05-08,Enterprise,444.0,22.0,22.7,3,8,stable,3.0,5,False,Finance,US,1
S000234,2026-05-12,Premium,282.0,18.0,35.5,1,4,increasing,5.0,15,False,Finance,US,0
S000235,2026-05-12,Enterprise,613.0,18.0,14.3,1,1,stable,7.0,24,False,Retail,FR,0
S000236,2026-05-23,Premium,148.0,34.07742864633445,11.8,0,2,stable,2.0,21,False,Healthcare,US,0
S000237,2026-05-20,Basic,77.0,10.0,34.3,1,2,increasing,9.0,21,True,Tech,CA,0
S000238,2026-05-11,Premium,287.0,,21.5,2,6,declining,10.0,21,True,Tech,US,0
S000239,2026-05-14,Basic,50.0,16.0,35.3,2,6,declining,9.0,14,True,Finance,US,0
S000240,2026-05-20,Basic,58.0,10.0,25.4,1,2,stable,10.0,6,True,Healthcare,US,1
S000241,2026-05-12,Premium,128.0,18.0,47.5,3,4,increasing,10.0,36,False,Tech,US,0
S000242,2026-05-20,Premium,114.0,10.0,,1,4,stable,8.0,1,False,Tech,US,0
S000243,2026-05-22,Basic,37.0,8.0,29.9,1,5,stable,,8,False,Tech,US,0
S000244,2026-05-17,Premium,138.0,13.0,34.6,0,5,declining,7.0,10,True,Tech,US,0
S000245,2026-05-13,Premium,176.0,,21.7,0,9,increasing,,11,False,Finance,US,0
S000246,2026-05-10,Enterprise,971.0,20.0,5.3,2,2,declining,2.0,2,False,Healthcare,FR,0
S000247,2026-05-17,Premium,221.0,13.0,29.3,0,3,stable,0.0,25,True,Finance,US,1
S000248,2026-05-05,Basic,84.0,25.0,48.3,0,2,increasing,,27,False,Tech,US,1
S000249,2026-05-21,Basic,69.0,9.0,1.0,1,2,declining,8.0,8,True,Tech,US,0
S000250,2026-05-12,Basic,63.0,18.0,30.6,1,1,stable,9.0,31,True,Manufacturing,Other,0
S000251,2026-05-17,Premium,116.0,13.0,6.6,4,4,increasing,0.0,12,False,Finance,FR,1
S000252,2026-05-18,Enterprise,962.0,12.0,24.7,0,3,stable,2.0,13,False,Tech,Other,0
S000253,2026-05-13,Basic,63.0,17.0,26.0,1,3,stable,6.0,17,False,Tech,AU,1
S000254,2026-05-15,Basic,87.0,15.0,34.0,1,5,stable,2.0,7,False,Retail,US,0
S000255,2026-05-12,Basic,80.0,18.0,27.5,3,6,increasing,6.0,29,True,Retail,DE,0
S000256,2026-05-20,Premium,1224.5520336072568,10.0,41.5,2,3,declining,2.0,6,False,Manufacturing,US,0
S000257,2026-05-12,Premium,113.0,18.0,39.0,0,3,declining,5.0,31,False,Healthcare,AU,0
S000258,2026-05-16,Basic,41.0,14.0,22.6,2,6,declining,3.0,19,False,Finance,US,1
S000259,2026-05-11,Basic,34.0,19.0,38.1,1,0,stable,0.0,9,False,Finance,US,1
S000260,2026-05-16,Premium,257.0,14.0,21.2,2,5,increasing,3.0,16,True,Tech,AU,0
S000261,2026-05-13,Basic,56.0,17.0,19.2,1,0,stable,7.0,29,False,Healthcare,CA,1
S000262,2026-05-16,Premium,210.0,14.0,10.5,2,4,declining,2.0,34,False,Healthcare,Other,0
S000263,2026-05-18,Basic,77.0,12.0,40.7,1,1,declining,3.0,13,False,Tech,US,0
S000264,2026-05-18,Basic,33.0,12.0,88.72506459440793,0,2,stable,1.0,33,False,Manufacturing,US,0
S000265,2026-05-16,Enterprise,736.0,14.0,1.0,2,6,stable,1.0,19,True,Finance,US,0
S000266,2026-05-17,Basic,84.0,13.0,31.5,4,3,stable,8.0,35,True,Tech,US,0
S000267,2026-05-17,Basic,80.0,13.0,19.8,1,2,stable,0.0,18,False,Tech,UK,0
S000268,2026-05-17,Basic,64.0,13.0,21.4,1,6,declining,10.0,24,False,Manufacturing,US,1
